ward22cd,ward22nm,building_use,construction_age_band,wall_type,wall_insulation,roof_type,roof_insulation,glazing_type,built_form,property_type,total_floor_area,estimated_floor_count,number_habitable_rooms,epc_score,main_heat_type,main_fuel_type,energy_consumption,tenure,lookup_age_band,u_value_wall,u_value_roof,u_value_floor,u_value_glazing
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,29,4.0,up to 2,67,boiler,mains gas,7957,social,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,flat,insulated,secondary,end-terrace,flat,34,5.0,up to 2,54,boiler,mains gas,11748,owner-occupied,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,91,4.0,3,77,boiler,mains gas,10760,private-rented,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,61,4.0,3,76,boiler,mains gas,5322,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,59,5.0,up to 2,72,boiler,mains gas,8453,owner-occupied,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,flat,uninsulated,single/partial,end-terrace,flat,123,5.0,4,53,boiler,mains gas,22191,private-rented,pre-1920,1.7,2.3,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,67,6.0,3,73,boiler,mains gas,6798,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,80,5.0,4,68,boiler,mains gas,14616,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,75,4.0,3,69,communal,mains gas,13710,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,162,5.0,5,66,boiler,mains gas,24344,owner-occupied,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,end-terrace,flat,67,5.0,3,64,boiler,mains gas,12716,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,1930-1949,solid,uninsulated,another dwelling above,another dwelling above,secondary,end-terrace,flat,65,5.0,up to 2,66,boiler,mains gas,7289,private-rented,1920-1949,1.6,,,2.82
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,75,4.0,3,69,communal,mains gas,13710,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,61,6.0,3,70,boiler,mains gas,11187,social,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,32,4.0,up to 2,68,boiler,mains gas,6973,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,secondary,mid-terrace,flat,147,4.0,4,72,boiler,mains gas,16854,owner-occupied,pre-1920,1.7,,,2.82
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,61,4.0,3,75,boiler,mains gas,5808,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,88,4.0,4,71,boiler,mains gas,13470,owner-occupied,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,50,4.0,up to 2,75,boiler,mains gas,5910,owner-occupied,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,pitched,uninsulated,double/triple,mid-terrace,flat,51,4.0,3,63,boiler,mains gas,8624,private-rented,pre-1920,1.7,2.3,,2.4
E05013653,Bloomsbury,residential only,1900-1929,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,142,4.0,4,74,boiler,mains gas,12426,private-rented,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,81,4.0,3,69,boiler,mains gas,13560,owner-occupied,pre-1920,1.7,,,5.75
E05013653,Bloomsbury,residential only,pre-1900,solid,uninsulated,another dwelling above,another dwelling above,single/partial,mid-terrace,flat,75,4.0,3,69,communal,mains gas,13710,private-rented,pre-1920,1.7,,,5.75
